Name,Position,Alternate Positions,TEAM,LEAGUE,NATION/REGION,Skill Moves,STRONG FOOT / WEAK FOOT,Height,Weight,Work Rate (ATT) / Work Rate (DEF),Added on,PNG URL,GIF URL
Beckham,CM,RM,Icons,Icons,England,(4) ★★★★,RIGHT / (4) ★★★★,6'0" (182 cm),74 kg,High/High,7/3/2026,https://s6.imgcdn.dev/YqjcNo.png,
C. Ronaldo,ST,,Portugal,International,Portugal,(5) ★★★★★,RIGHT / (4) ★★★★,6'2" (187 cm),85 kg,High/Low,6/10/2026,https://s6.imgcdn.dev/YqjLmO.png,
Bruno Fernandes,CAM,CM,Portugal,International,Portugal,(4) ★★★★,RIGHT / (4) ★★★★,5'10" (179 cm),69 kg,High/Medium,6/17/2026,https://s6.imgcdn.dev/Yqwk1e.png,
Neymar Jr,LW,"CAM,ST",Brazil,International,Brazil,(5) ★★★★★,RIGHT / (5) ★★★★★,"5'9"" (175 cm)",68 kg,High/Medium,6/24/2026,https://s6.imgcdn.dev/YqwFCS.png,
Vini Jr.,LW,ST,Brazil,International,Brazil,(5) ★★★★★,RIGHT / (4) ★★★★,"5'9"" (176 cm)",73 kg,High/Medium,6/29/2026,https://s6.imgcdn.dev/Yq6QsB.png,
Messi,RW,"CAM,ST",Argentina,International,Argentina,(4) ★★★★,LEFT / (5) ★★★★★,"5'7"" (169 cm)",67 kg,High/Medium,7/1/2026,https://s6.imgcdn.dev/YqMn5d.png,
Haaland,ST,,Norway,International,Norway,(4) ★★★★,LEFT / (4) ★★★★,"6'5"" (195 cm)",94 kg,High/Medium,6/29/2026,https://s6.imgcdn.dev/YqM3ri.png,
Bellingham,CAM,"CM,LM",England,International,England,(4) ★★★★,RIGHT / (4) ★★★★,"6'1"" (186 cm)",75 kg,High/Medium,6/10/2026,https://s6.imgcdn.dev/Yqc5TD.png,
Kane,ST,,England,International,England,(4) ★★★★,RIGHT / (4) ★★★★,"6'2"" (188 cm)",86 kg,High/High,6/17/2026,https://s6.imgcdn.dev/Yqc00S.png,
Quiñones,ST,,Mexico,International,Mexico,(4) ★★★★,RIGHT / (3) ★★★,"5'11"" (180 cm)",78 kg,High/Medium,6/17/2026,https://s6.imgcdn.dev/Yqc73C.png,
Pulisic,RW,"RM,ST",United States,International,United States,(4) ★★★★,RIGHT / (5) ★★★★★,"5'10"" (178 cm)",73 kg,High/Medium,6/10/2026,https://s6.imgcdn.dev/YqcGje.png,
Al Dawsari,LM,LW,Saudi Arabia,International,Saudi Arabia,(4) ★★★★,RIGHT / (5) ★★★★★,"5'8"" (173 cm)",71 kg,High/High,6/10/2026,https://s6.imgcdn.dev/YqcST0.png,
Pickford,GK,,England,International,England,(1) ★,LEFT / (4) ★★★★,"6'1"" (185 cm)",77 kg,Medium/Medium,6/17/2026,https://s6.imgcdn.dev/YqcrRM.png,
Martínez,GK,,Argentina,International,Argentina,(1) ★,RIGHT / (4) ★★★★,"6'5"" (195 cm)",88 kg,Medium/Medium,6/17/2026,https://s6.imgcdn.dev/YqcvJd.png,
Messi,CAM,"ST,RW",Argentina,International,Argentina,(4) ★★★★,LEFT / (4) ★★★★,"5'7"" (169 cm)",67 kg,Medium/Medium,6/10/2026,https://s6.imgcdn.dev/Yqc2nl.png,
Modrić,CM,"CAM,CDM",Croatia,International,Croatia,(4) ★★★★,RIGHT / (4) ★★★★,"5'8"" (172 cm)",67 kg,Medium/Medium,6/10/2026,https://s6.imgcdn.dev/YqcOFV.png,
Kimmich,CDM,RB,Germany,International,Germany,(3) ★★★,RIGHT / (4) ★★★★,"5'10"" (177 cm)",75 kg,Medium/High,6/17/2026,https://s6.imgcdn.dev/YqcR0o.png,
Musiala,CAM,"LM,CM",Germany,International,Germany,(5) ★★★★★,RIGHT / (4) ★★★★,"6'0"" (184 cm)",72 kg,High/Medium,6/10/2026,https://s6.imgcdn.dev/YqcV3O.png,
Van Dijk,CB,,Netherlands,International,Netherlands,(2) ★★,RIGHT / (3) ★★★,"6'4"" (193 cm)",92 kg,Medium/High,6/10/2026,https://s6.imgcdn.dev/Yqctwn.png,
Marc Cucurella,LB,,Spain,International,Spain,(3) ★★★,LEFT / (3) ★★★,"5'9"" (174 cm)",66 kg,High/High,6/17/2026,https://s6.imgcdn.dev/YqcdRv.png,
Lamine Yamal,RW,RM,Spain,International,Spain,(5) ★★★★★,LEFT / (4) ★★★★,"5'11"" (180 cm)",72 kg,High/Medium,6/10/2026,https://s6.imgcdn.dev/YqcexB.png,
De Bruyne,CM,CAM,Belgium,International,Belgium,(4) ★★★★,RIGHT / (5) ★★★★★,"5'11"" (181 cm)",75 kg,High/Medium,6/10/2026,https://s6.imgcdn.dev/YqcmHu.png,
Díaz,LW,"LM,ST",Colombia,International,Colombia,(4) ★★★★,RIGHT / (4) ★★★★,"5'11"" (180 cm)",73 kg,High/Medium,6/17/2026,https://s6.imgcdn.dev/YqcFCL.png,
Rodríguez,CAM,"RM,CM",Colombia,International,Colombia,(4) ★★★★,LEFT / (3) ★★★,"5'11"" (180 cm)",75 kg,High/Low,6/10/2026,https://s6.imgcdn.dev/YqcH7a.png,
Amad,RM,RB,"Côte d'Ivoire",International,Ivory Coast,(4) ★★★★,LEFT / (4) ★★★★,"5'8"" (173 cm)",67 kg,High/Medium,6/17/2026,https://s6.imgcdn.dev/YqcXLw.png,
McTominay,CM,"CAM,LM",Scotland,International,Scotland,(3) ★★★,RIGHT / (3) ★★★,"6'4"" (193 cm)",88 kg,Medium/Medium,6/10/2026,https://s6.imgcdn.dev/YqcEwt.png,
